LumiCycle: C6 (Raw)
Date,Time (hr:min),Time (days),counts/sec, baseline 
12/17/2016,16:36,002.69861,00650.434,00703.304
12/17/2016,16:46,002.70556,00649.740,00711.357
12/17/2016,16:56,002.71250,00676.559,00719.253
12/17/2016,17:06,002.71944,00688.341,00727.291
12/17/2016,17:16,002.72639,00703.849,00735.275
12/17/2016,17:26,002.73333,00721.010,00743.129
12/17/2016,17:36,002.74028,00736.342,00750.988
12/17/2016,17:46,002.74722,00752.178,00758.993
12/17/2016,17:56,002.75417,00764.167,00766.862
12/17/2016,18:06,002.76111,00780.161,00774.714
12/17/2016,18:16,002.76806,00800.323,00782.452
12/17/2016,18:26,002.77500,00815.220,00790.126
12/17/2016,18:36,002.78194,00829.732,00797.770
12/17/2016,18:46,002.78889,00849.072,00805.197
12/17/2016,18:56,002.79583,00860.893,00812.600
12/17/2016,19:06,002.80278,00878.686,00819.672
12/17/2016,19:16,002.80972,00885.464,00826.716
12/17/2016,19:26,002.81667,00903.886,00833.520
12/17/2016,19:36,002.82361,00921.884,00840.061
12/17/2016,19:46,002.83056,00936.100,00846.573
12/17/2016,19:56,002.83750,00953.079,00852.692
12/17/2016,20:06,002.84444,00960.198,00858.810
12/17/2016,20:16,002.85139,00976.911,00864.534
12/17/2016,20:26,002.85833,00986.604,00869.989
12/17/2016,20:36,002.86528,00997.753,00875.390
12/17/2016,20:46,002.87222,00999.020,00880.733
12/17/2016,20:56,002.87917,01016.607,00885.491
12/17/2016,21:06,002.88611,01020.827,00890.192
12/17/2016,21:16,002.89306,01029.009,00894.507
12/17/2016,21:26,002.90000,01035.605,00898.505
12/17/2016,21:36,002.90694,01037.726,00902.293
12/17/2016,21:46,002.91389,01045.227,00905.781
12/17/2016,21:56,002.92083,01049.460,00908.900
12/17/2016,22:06,002.92778,01054.440,00911.808
12/17/2016,22:16,002.93472,01060.130,00914.304
12/17/2016,22:26,002.94167,01062.594,00916.529
12/17/2016,22:36,002.94861,01068.638,00918.360
12/17/2016,22:46,002.95556,01061.189,00920.041
12/17/2016,22:56,002.96250,01069.412,00921.411
12/17/2016,23:06,002.96944,01064.772,00922.386
12/17/2016,23:16,002.97639,01058.152,00923.101
12/17/2016,23:26,002.98333,01050.315,00923.462
12/17/2016,23:36,002.99028,01046.869,00923.394
12/17/2016,23:46,002.99722,01054.775,00922.849
12/17/2016,23:56,003.00417,01036.232,00922.336
12/18/2016,00:06,003.01111,01037.154,00921.214
12/18/2016,00:16,003.01806,01029.617,00919.881
12/18/2016,00:26,003.02500,01022.018,00918.121
12/18/2016,00:36,003.03194,01022.560,00915.926
12/18/2016,00:46,003.03889,01011.235,00913.655
12/18/2016,00:56,003.04583,01006.986,00910.867
12/18/2016,01:06,003.05278,00992.336,00907.888
12/18/2016,01:16,003.05972,00979.847,00904.553
12/18/2016,01:26,003.06667,00976.686,00900.872
12/18/2016,01:36,003.07361,00961.407,00897.059
12/18/2016,01:46,003.08056,00956.440,00892.848
12/18/2016,01:56,003.08750,00943.246,00888.469
12/18/2016,02:06,003.09444,00930.880,00883.711
12/18/2016,02:16,003.10139,00923.112,00878.754
12/18/2016,02:26,003.10833,00900.362,00873.750
12/18/2016,02:36,003.11528,00902.586,00868.198
12/18/2016,02:46,003.12222,00896.489,00862.508
12/18/2016,02:56,003.12917,00885.142,00856.847
12/18/2016,03:06,003.13611,00870.131,00850.900
12/18/2016,03:16,003.14306,00862.663,00844.803
12/18/2016,03:26,003.15000,00845.489,00838.665
12/18/2016,03:36,003.15694,00834.483,00832.341
12/18/2016,03:46,003.16389,00827.706,00825.973
12/18/2016,03:56,003.17083,00812.986,00819.585
12/18/2016,04:06,003.17778,00809.605,00812.924
12/18/2016,04:16,003.18472,00794.290,00806.382
12/18/2016,04:26,003.19167,00784.925,00799.590
12/18/2016,04:36,003.19861,00770.564,00792.909
12/18/2016,04:46,003.20556,00764.015,00786.076
