LumiCycle: E5 (Raw)
Date,Time (hr:min),Time (days),counts/sec, baseline 
12/18/2016,05:11,003.21597,01324.765,01265.041
12/18/2016,05:21,003.22292,01304.348,01268.732
12/18/2016,05:31,003.22986,01278.079,01272.615
12/18/2016,05:41,003.23681,01259.835,01276.354
12/18/2016,05:51,003.24375,01242.387,01280.041
12/18/2016,06:01,003.25069,01221.432,01283.841
12/18/2016,06:11,003.25764,01210.390,01287.429
12/18/2016,06:21,003.26458,01177.461,01291.236
12/18/2016,06:31,003.27153,01159.678,01294.857
12/18/2016,06:41,003.27847,01129.843,01298.588
12/18/2016,06:51,003.28542,01115.190,01302.094
12/18/2016,07:01,003.29236,01103.421,01305.561
12/18/2016,07:11,003.29931,01079.722,01309.009
12/18/2016,07:21,003.30625,01069.591,01312.275
12/18/2016,07:31,003.31319,01053.970,01315.447
12/18/2016,07:41,003.32014,01026.954,01318.658
12/18/2016,07:51,003.32708,01010.315,01321.582
12/18/2016,08:01,003.33403,01005.519,01324.366
12/18/2016,08:11,003.34097,00990.942,01327.037
12/18/2016,08:21,003.34792,00973.993,01329.652
12/18/2016,08:31,003.35486,00960.730,01332.192
12/18/2016,08:41,003.36181,00951.478,01334.485
12/18/2016,08:51,003.36875,00933.462,01336.726
12/18/2016,09:01,003.37569,00919.499,01338.747
12/18/2016,09:11,003.38264,00909.761,01340.584
12/18/2016,09:21,003.38958,00901.422,01342.206
12/18/2016,09:31,003.39653,00891.346,01343.663
12/18/2016,09:41,003.40347,00885.813,01344.962
12/18/2016,09:51,003.41042,00875.289,01346.085
12/18/2016,10:01,003.41736,00870.348,01346.991
12/18/2016,10:11,003.42431,00868.830,01347.792
12/18/2016,10:21,003.43125,00857.670,01348.455
12/18/2016,10:31,003.43819,00850.656,01348.870
12/18/2016,10:41,003.44514,00851.739,01349.104
12/18/2016,10:51,003.45208,00849.114,01349.281
12/18/2016,11:01,003.45903,00847.986,01349.240
12/18/2016,11:11,003.46597,00844.043,01348.990
12/18/2016,11:21,003.47292,00852.528,01348.563
12/18/2016,11:31,003.47986,00847.962,01348.155
12/18/2016,11:41,003.48681,00849.825,01347.552
12/18/2016,11:51,003.49375,00854.654,01346.764
12/18/2016,12:01,003.50069,00848.720,01345.929
12/18/2016,12:11,003.50764,00859.626,01344.823
12/18/2016,12:21,003.51458,00858.239,01343.618
12/18/2016,12:31,003.52153,00867.226,01342.338
12/18/2016,12:41,003.52847,00871.891,01341.030
12/18/2016,12:51,003.53542,00884.314,01339.549
12/18/2016,13:01,003.54236,00889.184,01338.066
12/18/2016,13:11,003.54931,00903.455,01336.346
12/18/2016,13:21,003.55625,00915.041,01334.587
12/18/2016,13:31,003.56319,00932.246,01332.857
12/18/2016,13:41,003.57014,00942.586,01331.074
12/18/2016,13:51,003.57708,00946.305,01329.302
12/18/2016,14:01,003.58403,00972.016,01327.350
12/18/2016,14:11,003.59097,00983.236,01325.515
12/18/2016,14:21,003.59792,01003.923,01323.606
12/18/2016,14:31,003.60486,01018.884,01321.685
12/18/2016,14:41,003.61181,01040.479,01319.676
12/18/2016,14:51,003.61875,01050.880,01317.806
12/18/2016,15:01,003.62569,01077.324,01315.839
12/18/2016,15:11,003.63264,01091.598,01313.887
12/18/2016,15:21,003.63958,01114.110,01311.966
12/18/2016,15:31,003.64653,01135.455,01309.961
12/18/2016,15:41,003.65347,01152.761,01308.058
12/18/2016,15:51,003.66042,01184.846,01306.017
12/18/2016,16:01,003.66736,01202.986,01304.161
12/18/2016,16:11,003.67431,01232.210,01302.275
12/18/2016,16:21,003.68125,01247.450,01300.422
12/18/2016,16:31,003.68819,01274.403,01298.588
12/18/2016,16:41,003.69514,01298.690,01296.761
12/18/2016,16:51,003.70208,01319.782,01295.100
12/18/2016,17:01,003.70903,01342.913,01293.415
12/18/2016,17:11,003.71597,01373.074,01291.779
12/18/2016,17:21,003.72292,01390.961,01290.300
12/18/2016,17:31,003.72986,01431.457,01288.723
12/18/2016,17:41,003.73681,01436.849,01287.480
12/18/2016,17:51,003.74375,01465.084,01286.161
12/18/2016,18:01,003.75069,01495.984,01284.804
12/18/2016,18:11,003.75764,01509.297,01283.668
12/18/2016,18:21,003.76458,01544.723,01282.372
12/18/2016,18:31,003.77153,01560.154,01281.394
12/18/2016,18:41,003.77847,01589.684,01280.333
12/18/2016,18:51,003.78542,01613.354,01279.448
