LumiCycle: 06 (Raw)
Date,Time (hr:min),Time (days),counts/sec, baseline 
12/16/2017,08:37,003.35903,00194.104,00255.350
12/16/2017,08:52,003.36944,00192.791,00254.734
12/16/2017,09:07,003.37986,00190.514,00254.166
12/16/2017,09:22,003.39028,00189.012,00253.580
12/16/2017,09:37,003.40069,00189.515,00252.956
12/16/2017,09:52,003.41111,00184.440,00252.405
12/16/2017,10:07,003.42153,00187.482,00251.771
12/16/2017,10:22,003.43194,00189.607,00251.154
12/16/2017,10:37,003.44236,00187.503,00250.613
12/16/2017,10:52,003.45278,00186.933,00250.031
12/16/2017,11:07,003.46319,00186.253,00249.390
12/16/2017,11:22,003.47361,00189.803,00248.780
12/16/2017,11:37,003.48403,00190.434,00248.229
12/16/2017,11:52,003.49444,00194.157,00247.618
12/16/2017,12:07,003.50486,00191.289,00247.109
12/16/2017,12:22,003.51528,00193.914,00246.565
12/16/2017,12:37,003.52569,00193.241,00246.084
12/16/2017,12:52,003.53611,00197.993,00245.520
12/16/2017,13:07,003.54653,00200.069,00244.995
12/16/2017,13:22,003.55694,00201.029,00244.543
12/16/2017,13:37,003.56736,00203.229,00244.049
12/16/2017,13:52,003.57778,00207.683,00243.568
12/16/2017,14:07,003.58819,00209.262,00243.118
12/16/2017,14:22,003.59861,00214.217,00242.625
12/16/2017,14:37,003.60903,00218.153,00242.176
12/16/2017,14:52,003.61944,00220.895,00241.732
12/16/2017,15:07,003.62986,00225.327,00241.294
12/16/2017,15:22,003.64028,00229.573,00240.855
12/16/2017,15:37,003.65069,00232.414,00240.510
12/16/2017,15:52,003.66111,00235.526,00240.122
12/16/2017,16:07,003.67153,00236.149,00239.804
12/16/2017,16:22,003.68194,00243.608,00239.436
12/16/2017,16:37,003.69236,00245.760,00239.102
12/16/2017,16:52,003.70278,00248.118,00238.751
12/16/2017,17:07,003.71319,00253.870,00238.366
12/16/2017,17:22,003.72361,00258.210,00238.035
12/16/2017,17:37,003.73403,00258.027,00237.748
12/16/2017,17:52,003.74444,00261.175,00237.436
12/16/2017,18:07,003.75486,00266.299,00237.153
12/16/2017,18:22,003.76528,00268.888,00236.854
12/16/2017,18:37,003.77569,00271.215,00236.548
12/16/2017,18:52,003.78611,00278.486,00236.180
12/16/2017,19:07,003.79653,00277.556,00235.941
12/16/2017,19:22,003.80694,00282.103,00235.672
12/16/2017,19:37,003.81736,00285.786,00235.400
12/16/2017,19:52,003.82778,00287.420,00235.165
12/16/2017,20:07,003.83819,00286.970,00234.925
